mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail
IST,on,1,6,3,3,33561,0,29,34,36,12.85,0,0.6,0
IST,on,2,4,4,0,33561,0,50,60,39,20.3,0,0.3,0
IST,on,3,11,10,1,33561,0,53,82,41,19.4,0,0.307,0
IST,on,4,9,8,1,33561,0,69,56,41,18.7,0,0.3,0
IST,on,5,4,2,2,33561,0,59,64,39,19.75,0,0.348,0
IST,on,6,4,4,0,33561,0,98,78,41,17.15,0,0.3,0
IST,on,7,6,5,1,33561,0,153,97,41,24.1,0,0.676,0
IST,on,8,9,7,2,33561,0,108,88,44,22.35,0,0.3,0
IST,on,9,4,2,2,33561,0,91,60,39,21.05,0,0.3,0
IST,on,10,6,3,3,33561,0,12,48,39,14.9,0,0.3,0
IST,on,11,3,2,1,33561,0,140,78,39,21.4,0,0.3,0
IST,on,12,7,7,0,33561,0,65,55,40,16.05,0,0.3,0
IST,on,13,4,3,1,33561,0,48,58,38,19.8,0,0.3,0
IST,on,14,4,3,1,33561,0,47,73,39,19.85,0,0.3,0
IST,on,15,5,3,2,33561,0,26,40,39,15.65,0,0.3,0
IST,on,16,6,3,3,33561,0,61,62,39,18.4,0,0.3,0
IST,on,17,0,0,0,33561,0,24,45,37,17.4,0,0,0
IST,on,18,7,5,2,33561,0,59,71,40,18.45,0,0.3,0
IST,on,19,4,3,1,33561,0,35,45,37,16.85,0,0.3,0
IST,on,20,9,6,3,33561,0,56,77,39,19.65,0,0.585,0
IST,on,21,3,2,1,33561,0,41,52,37,18.3,0,0.55,0
IST,on,22,1,0,1,33561,0,19,34,36,10.35,0,0.3,0
IST,on,23,10,4,6,33561,0,100,85,42,26.35,0,0.3,0
IST,on,24,2,2,0,33561,0,9,30,35,12.15,0,0.3,0
IST,on,25,8,6,2,33561,0,110,71,42,20.75,0,0.3,0
IST,on,26,5,2,3,33561,0,7,44,36,13,0,0.3,0
IST,on,27,7,4,3,33561,0,74,39,38,11.65,0,0.3,0
IST,on,28,6,5,1,33561,0,38,73,43,23.1,0,0.333,0
IST,on,29,1,1,0,33561,0,107,74,37,20.55,0,0.3,0
IST,on,30,5,3,2,33561,0,24,45,39,20.05,0,0.3,0
IST,on,31,6,6,0,33561,0,56,97,38,21.55,0,0.3,0
IST,on,32,7,6,1,33561,0,114,118,41,25.75,0,0.3,0
IST,on,33,6,5,1,33561,0,64,54,38,18.65,0,0.3,0
IST,on,34,8,6,2,33561,0,85,87,42,24.35,0,0.3,0
IST,on,35,6,6,0,33561,0,59,48,38,12.9,0,0.3,0
IST,on,36,6,4,2,33561,0,78,74,43,20.7,0,0.319,0
IST,on,37,3,2,1,33561,0,77,86,40,20.65,0,0.3,0
IST,on,38,9,8,1,33561,0,241,132,44,27,0,0.3,0
IST,on,39,7,4,3,33561,0,15,40,37,14.8,0,0.3,0
IST,on,40,8,5,3,33561,0,62,69,38,20.35,0,0.3,0
IST,on,41,3,2,1,33561,0,55,75,40,22.05,0,0.3,0
IST,on,42,7,4,3,33561,0,72,83,40,20.9,0,0.3,0
IST,on,43,2,2,0,33561,0,17,45,38,14.15,0,0.3,0
IST,on,44,6,3,3,33561,0,25,45,37,16.5,0,0.3,0
IST,on,45,7,4,3,33561,0,41,66,42,17.1,0,0.3,0
IST,on,46,5,2,3,33561,0,47,53,38,18.15,0,0.3,0
IST,on,47,8,6,2,33561,0,82,82,42,21.75,0,0.3,0
