mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail
SOLL,on,1,7,6,1,5594,239,167,52,19,3.45,0,0.3,0
SOLL,on,2,6,5,1,5594,335,169,83,16,4.65,0,0.3,0
SOLL,on,3,10,7,2,5594,462,230,82,18,5.7,0,0.748,1
SOLL,on,4,4,1,3,5594,357,333,77,17,5.05,0,0.3,0
SOLL,on,5,5,4,1,5594,375,322,70,17,5.15,0,0.3,0
SOLL,on,6,7,5,2,5594,424,309,66,20,5.8,0,0.3,0
SOLL,on,7,5,4,1,5594,389,112,91,20,5.25,0,0.3,1
SOLL,on,8,8,7,1,5594,267,124,55,19,3.95,0,0.339,0
SOLL,on,9,5,5,0,5594,320,160,68,16,4.3,0,0.3,0
SOLL,on,10,3,2,1,5594,301,216,50,17,4.4,0,0.3,0
SOLL,on,11,8,6,2,5594,446,211,80,21,6.15,0,0.3,1
SOLL,on,12,10,9,0,5594,455,214,78,23,5.7,0,0.681,1
SOLL,on,13,8,7,1,5594,343,226,80,21,4.5,0,0.3,0
SOLL,on,14,3,2,1,5594,166,67,46,15,2.55,0,0.3,0
SOLL,on,15,4,4,0,5594,540,371,81,22,7.05,0,0.433,1
SOLL,on,16,3,3,0,5594,262,181,47,18,4.2,0,0.3,0
SOLL,on,17,3,3,0,5594,328,310,82,18,4.65,0,0.316,1
SOLL,on,18,11,10,1,5594,513,143,104,23,6.55,0,0.356,1
SOLL,on,19,8,5,3,5594,366,269,56,17,5.05,0,0.3,1
SOLL,on,20,13,12,1,5594,399,392,69,18,5.5,0,0.3,1
SOLL,on,21,4,1,2,5594,215,2,47,16,3.15,0,0.685,0
SOLL,on,22,4,3,0,5594,204,122,48,15,3.4,0,0.992,0
SOLL,on,23,2,1,1,5594,363,193,71,18,5.05,0,0.3,0
SOLL,on,24,9,5,4,5594,510,158,82,24,6.3,0,0.3,0
SOLL,on,25,8,5,2,5594,400,161,63,20,5.3,0,0.381,1
SOLL,on,26,4,4,0,5594,289,79,70,17,4.35,0,0.7,1
SOLL,on,27,4,3,1,5594,409,220,72,18,5.35,0,0.3,0
SOLL,on,28,1,1,0,5594,204,199,48,13,3.35,0,0.3,0
SOLL,on,29,3,2,1,5594,312,194,59,18,4.6,0,0.3,1
SOLL,on,30,4,3,1,5594,255,127,54,16,3.8,0,0.3,0
SOLL,on,31,5,4,1,5594,431,98,61,19,5.75,0,0.3,1
SOLL,on,32,5,3,2,5594,354,253,62,17,5.2,0,0.3,1
SOLL,on,33,1,1,0,5594,343,210,62,17,4.85,0,0.3,0
SOLL,on,34,1,0,1,5594,164,21,34,12,2.7,0,0,0
SOLL,on,35,4,2,2,5594,273,142,48,17,3.85,0,0.3,0
SOLL,on,36,7,6,1,5594,323,248,61,17,4.75,0,0.435,1
SOLL,on,37,7,5,2,5594,293,237,67,22,4.4,0,0.3,0
SOLL,on,38,3,1,1,5594,272,106,44,18,4.2,0,0.7,0
SOLL,on,39,5,3,2,5594,324,221,75,19,4.55,0,0.3,0
SOLL,on,40,1,0,1,5594,191,156,37,12,3.05,0,0,0
SOLL,on,41,4,3,1,5594,244,65,65,16,3.65,0,0.3,0
SOLL,on,42,4,3,1,5594,214,64,58,17,3.35,0,0.55,0
